"","Entity","Code","SDG","Year","value"
"1","Albania","ALB","14_1_1_1",2018,25.9956210880797
"2","Algeria","DZA","14_1_1_1",2015,8.71722404826168
"3","Algeria","DZA","14_1_1_1",2016,7.97897913784036
"4","Algeria","DZA","14_1_1_1",2018,58.8679280225518
"11","Argentina","ARG","14_1_1_1",2015,18.0362566077217
"12","Argentina","ARG","14_1_1_1",2016,31.0625584822887
"13","Argentina","ARG","14_1_1_1",2017,20.3067571448415
"14","Argentina","ARG","14_1_1_1",2018,17.2278668320657
"21","Australia","AUS","14_1_1_1",2015,61.4749360586962
"22","Australia","AUS","14_1_1_1",2016,53.2695767972709
"23","Australia","AUS","14_1_1_1",2017,35.5139180301064
"24","Australia","AUS","14_1_1_1",2018,37.6213812557074
"29","Austria","AUT","14_1_1_1",2017,37.3486507557889
"30","Azerbaijan","AZE","14_1_1_1",2016,42.1255110740269
"31","Azerbaijan","AZE","14_1_1_1",2018,34.6251422347537
"32","Bahamas","BHS","14_1_1_1",2016,39.324883070245
"33","Bahamas","BHS","14_1_1_1",2017,31.8945790516132
"34","Bahamas","BHS","14_1_1_1",2018,30.9781678126135
"35","Bangladesh","BGD","14_1_1_1",2016,1.06622024284083
"36","Bangladesh","BGD","14_1_1_1",2017,18.0795210442531
"37","Bangladesh","BGD","14_1_1_1",2018,20.0095767016562
"38","Barbados","BRB","14_1_1_1",2016,26.5784210671797
"39","Barbados","BRB","14_1_1_1",2017,22.759657886543
"40","Barbados","BRB","14_1_1_1",2018,58.8679280225518
"41","Belgium","BEL","14_1_1_1",2015,12.9958419762523
"42","Belgium","BEL","14_1_1_1",2016,34.1939380574679
"43","Belgium","BEL","14_1_1_1",2017,35.1080675528575
"44","Belgium","BEL","14_1_1_1",2018,48.1238857320165
"45","Belgium","BEL","14_1_1_1",2019,29.4641448739543
"46","Belize","BLZ","14_1_1_1",2016,24.8341750236548
"47","Belize","BLZ","14_1_1_1",2017,27.3737446916525
"48","Belize","BLZ","14_1_1_1",2018,26.4411448008587
